"Company Name ","Symbol ","Sector ","Sub-Sector ","Listing Date ","Listing Board "
"Medilines Distributors Incorporated",MEDIC,SERVICES,OTHER SERVICES,2021/12/07,Main Board
"Megaworld Corporation",MEG,PROPERTY,PROPERTY,1994/06/15,Main Board
"Manila Electric Company",MER,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,1992/01/08,Main Board
"Manulife Financial Corporation",MFC,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,1999/09/27,Main Board
"Makati Finance Corporation",MFIN,SME,SME,2003/01/06,SME Board
"Millennium Global Holdings, Inc.",MG,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1976/03/01,Main Board
"Metro Global Holdings Corporation",MGH,HOLDING FIRMS,HOLDING FIRMS,1964/05/04,Main Board
"Mabuhay Holdings Corporation",MHC,HOLDING FIRMS,HOLDING FIRMS,1990/10/22,Main Board
"Manila Jockey Club, Inc.",MJC,SERVICES,CASINOS & GAMING,1963/10/11,Main Board
"MJC Investments Corporation",MJIC,SERVICES,CASINOS & GAMING,1955/11/11,Main Board
"MerryMart Consumer Corp.",MM,SME,SME,2020/06/15,SME Board
"Monde Nissin Corporation",MONDE,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,2021/06/01,Main Board
"MRC Allied, Inc.",MRC,PROPERTY,PROPERTY,1995/05/18,Main Board
"MREIT, Inc.",MREIT,PROPERTY,PROPERTY,2021/10/01,Main Board
"Metro Retail Stores Group, Inc.",MRSGI,SERVICES,RETAIL,2015/11/24,Main Board
"Mabuhay Vinyl Corporation",MVC,INDUSTRIAL,CHEMICALS,1997/02/05,Main Board
"Manila Water Company, Inc.",MWC,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2005/03/18,Main Board
"Megawide Construction Corporation",MWIDE,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,2011/02/18,Main Board
"Megawide Construction Corporation Perpetual Preferred Shares",MWP,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,2014/12/03,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 2 Preferred Shares - Subseries ``2A``",MWP2A,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,2020/11/27,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 2 Preferred Shares - Subseries ``2B``",MWP2B,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,2020/11/27,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 4 Preferred Shares",MWP4,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,2021/10/29,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 5 Preferred Shares",MWP5,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,2023/04/17,Main Board
"NiHAO Mineral Resources International, Inc.",NI,MINING & OIL,MINING,1990/10/03,Main Board
"Nickel Asia Corporation",NIKL,MINING & OIL,MINING,2010/11/22,Main Board
"Now Corporation",NOW,SERVICES,INFORMATION TECHNOLOGY,2003/07/23,Main Board
"National Reinsurance Corporation of the Philippines",NRCP,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,2007/04/27,Main Board
"NextGenesis Corporation",NXGEN,FINANCIALS,BANKS,1996/10/08,Main Board
"OceanaGold (Philippines), Inc.",OGP,MINING & OIL,MINING,2024/05/13,Main Board
"Omico Corporation",OM,PROPERTY,PROPERTY,1969/05/02,Main Board
"Oriental Petroleum and Minerals Corporation ``A``",OPM,MINING & OIL,OIL,1970/10/14,Main Board
"Oriental Petroleum and Minerals Corporation ``B``",OPMB,MINING & OIL,OIL,1970/10/14,Main Board
"Oriental Peninsula Resources Group, Inc.",ORE,MINING & OIL,MINING,2007/12/19,Main Board
"The Philodrill Corporation",OV,MINING & OIL,OIL,1969/09/25,Main Board
"Pacifica Holdings, Inc.",PA,HOLDING FIRMS,HOLDING FIRMS,1959/11/23,Main Board
